wals_code,iso_code,glottocode,countrycodes,family,genus,Name,latitude,longitude,speakers
ako,acy,cypr1248,CY,Afro-Asiatic,Semitic,Arabic (Kormakiti),35.25,33.5,140
mlt,mlt,malt1254,MT,Afro-Asiatic,Semitic,Maltese,35.92,14.42,520000
cri,crh,crim1257,UZ,Altaic,Turkic,Crimean Tatar,45,34.08,480000
gag,gag,gaga1249,MD,Altaic,Turkic,Gagauz,46.33,28.67,140000
krm,kdr,kara1464,LT UA,Altaic,Turkic,Karaim,54.67,24.92,80
kym,uzn,nort2690,UA,Altaic,Turkic,Krymchak,45,34.25,200
tur,tur,nucl1301,TR,Altaic,Turkic,Turkish,39,35,78500000
urm,uum,urum1249,GE UA,Altaic,Turkic,Urum,47.12,37.55,190000
bsq,eus,basq1248,ES FR,Basque,Basque,Basque,43,-3,751500
alb,aln,tosk1239,AL RS,Indo-European,Albanian,Albanian,41,20,5400000
lat,lav,latv1249,LV,Indo-European,Baltic,Latvian,57,24,1750000
lit,lit,lith1251,LT,Indo-European,Baltic,Lithuanian,55,24,3100000
bre,bre,bret1244,FR,Indo-European,Celtic,Breton,48,-3,226000
crn,cor,corn1251,GB,Indo-European,Celtic,Cornish,50.33,-5,557
gae,gla,scot1245,GB,Indo-European,Celtic,Gaelic (Scots),57,-4,57000
iri,gle,iris1253,IE,Indo-European,Celtic,Irish,53,-8,77970
mnx,glv,manx1243,GB,Indo-European,Celtic,Manx,54.17,-4.5,1800
wel,cym,wels1247,GB,Indo-European,Celtic,Welsh,52,-3,700000
alt,gsw,swis1247,FR,Indo-European,Germanic,Alsatian,48.5,7.5,900000
dsh,dan,dani1285,DK,Indo-European,Germanic,Danish,56,10,5500000
dut,nld,dutc1256,NL,Indo-European,Germanic,Dutch,52.5,6,22000000
eng,eng,stan1293,GB IE,Indo-European,Germanic,English,52,0,400000000
far,fao,faro1244,DK,Indo-European,Germanic,Faroese,62,-7,66000
fri,frs,east2288,NL DE,Indo-European,Germanic,Frisian,53,5,480000
ger,deu,stan1295,AT DE CH,Indo-European,Germanic,German,52,10,95000000
ice,isl,icel1247,IS,Indo-European,Germanic,Icelandic,65,-17,358000
lge,nds,nort2627,DE,Indo-European,Germanic,Low German,53,10,6700000
lux,ltz,luxe1241,LU,Indo-European,Germanic,Luxemburgeois,49.83,6.17,390000
nor,nob,norw1259,NO,Indo-European,Germanic,Norwegian,61,8,5200000
swe,swe,swed1254,SE FI,Indo-European,Germanic,Swedish,60,15,9600000
ydd,yih,yidd1255,LT PL DE BY UA,Indo-European,Germanic,Yiddish,52,23,1
ydb,ydd,east2295,MD,Indo-European,Germanic,Yiddish (Bessarabian),47,28.5,1
ylt,ydd,east2295,LT,Indo-European,Germanic,Yiddish (Lithuanian),55,25,1
ydl,ydd,east2295,PL,Indo-European,Germanic,Yiddish (Lodz),51.75,19.42,1
gcy,ell,mode1248,CY,Indo-European,Greek,Greek (Cypriot),34.75,33,700000
grk,ell,mode1248,GR,Indo-European,Greek,Greek (Modern),39,22,13400000
rav,rmn,balk1252,GR,Indo-European,Indic,Romani (Ajia Varvara),38,23.58,1
rbu,rmn,balk1252,RS,Indo-European,Indic,Romani (Bugurdzi),42.67,21.17,1
rbg,rmo,sint1235,AT,Indo-European,Indic,Romani (Burgenland),47.5,16.5,1
rka,rmy,vlax1238,RS,Indo-European,Indic,Romani (Kalderash),45,21,1
rlo,rmy,vlax1238,RO HU,Indo-European,Indic,Romani (Lovari),47,21.5,1
rnr,rml,balt1257,RU,Indo-European,Indic,Romani (North Russian),60,38,1
rse,,,TR,Indo-European,Indic,Romani (Sepecides),38.25,27,1
rwe,rmw,wels1246,GB,Indo-European,Indic,Romani (Welsh),52,-4,1
ast,ast,astu1245,ES,Indo-European,Romance,Asturian,43.25,-6,351791
ctl,cat,stan1289,ES,Indo-European,Romance,Catalan,41.75,2,4100000
fre,fra,stan1290,FR CH,Indo-European,Romance,French,48,2,76800000
glc,glg,gali1258,ES,Indo-European,Romance,Galician,43,-8,2400000
ita,ita,ital1282,CH IT,Indo-European,Romance,Italian,43,12,90000000
ldn,lld,ladi1250,IT,Indo-European,Romance,Ladin,46.58,11.92,41129
lno,lad,ladi1251,TR IL,Indo-European,Romance,Ladino,40,33,122000
mol,ron,roma1327,MD,Indo-European,Romance,Moldavian,47,29,3500000
occ,oci,occi1239,FR,Indo-European,Romance,Occitan,44,2,800000
por,por,port1283,PT,Indo-European,Romance,Portuguese,39,-8,220000000
pro,oci,occi1239,FR,Indo-European,Romance,Provençal,44,6,350000
rom,ron,roma1327,RO,Indo-European,Romance,Romanian,46,25,26000000
rmc,roh,roma1326,CH,Indo-European,Romance,Romansch,46.67,9.17,36600
srd,sro,camp1261,IT,Indo-European,Romance,Sardinian,40,9,1000000
spa,spa,stan1288,ES,Indo-European,Romance,Spanish,40,-4,480000000
blr,bel,bela1254,BY,Indo-European,Slavic,Belorussian,54,28,2600000
bos,bos,bosn1245,BA,Indo-European,Slavic,Bosnian,43,18,3500000
bul,bul,bulg1262,BG,Indo-European,Slavic,Bulgarian,42.5,25,9000000
cze,ces,czec1258,CZ,Indo-European,Slavic,Czech,50,15,10700000
ksu,csb,kash1274,PL,Indo-European,Slavic,Kashubian,54,18,108000
mcd,mkd,mace1250,MK,Indo-European,Slavic,Macedonian,41.67,21.75,2500000
pol,pol,poli1260,PL,Indo-European,Slavic,Polish,52,20,45000000
rus,rus,russ1263,RU,Indo-European,Slavic,Russian,56,38,154000000
scr,bos,sout1528,BA RS HR,Indo-European,Slavic,Serbian-Croatian,44,19,21000000
svk,slk,slov1269,SK,Indo-European,Slavic,Slovak,49,20,5200000
slo,slv,slov1268,SI,Indo-European,Slavic,Slovene,46,15,2500000
srb,dsb,sorb1249,DE,Indo-European,Slavic,Sorbian,51.5,14,50000
ukr,ukr,ukra1253,UA,Indo-European,Slavic,Ukrainian,49,33,45000000
ash,ady,adyg1241,RU,Northwest Caucasian,Northwest Caucasian,Adyghe (Shapsugh),45,38.75,575900
est,est,esto1258,EE,Uralic,Finnic,Estonian,59,26,1100000
fin,fin,finn1318,FI,Uralic,Finnic,Finnish,62,25,5400000
krl,krl,kare1335,RU,Uralic,Finnic,Karelian,64,32,36000
liv,liv,livv1244,LV,Uralic,Finnic,Liv,56.83,24,40
vep,vep,veps1250,RU,Uralic,Finnic,Veps,60,35,1600
vot,vot,voti1245,RU,Uralic,Finnic,Votic,59.5,30,68
scs,sma,sout2674,SE,Uralic,Saami,Saami (Central-South),64.67,16.75,500
ski,sjd,kild1236,RU,Uralic,Saami,Saami (Kildin),67,37,787
sno,sme,nort2671,FI SE NO,Uralic,Saami,Saami (Northern),69,24,15000
hun,hun,hung1274,HU,Uralic,Ugric,Hungarian,47,20,13000000
